jhave@jhave-Ubuntu:~/Documents/Github/pytorch-poetry-generation/word_language_model$ python main_pf.py --cuda --model=LSTM --emsize=500 --nhid=500 --nlayers=5
| epoch   3 |  4000/ 7591 batches | lr 20.00 | ms/batch 115.47 | loss  5.69 | ppl   297.30
| epoch   3 |  4200/ 7591 batches | lr 20.00 | ms/batch 115.41 | loss  5.75 | ppl   313.95
| epoch   3 |  4400/ 7591 batches | lr 20.00 | ms/batch 114.08 | loss  5.77 | ppl   321.66
| epoch   3 |  4600/ 7591 batches | lr 20.00 | ms/batch 113.48 | loss  5.52 | ppl   249.66
| epoch   3 |  4800/ 7591 batches | lr 20.00 | ms/batch 113.31 | loss  5.63 | ppl   278.59
| epoch   3 |  5000/ 7591 batches | lr 20.00 | ms/batch 113.41 | loss  5.63 | ppl   278.93
| epoch   3 |  5200/ 7591 batches | lr 20.00 | ms/batch 113.43 | loss  5.58 | ppl   264.59
| epoch   3 |  5400/ 7591 batches | lr 20.00 | ms/batch 113.50 | loss  5.65 | ppl   283.51
| epoch   3 |  5600/ 7591 batches | lr 20.00 | ms/batch 113.23 | loss  5.66 | ppl   287.10
| epoch   3 |  5800/ 7591 batches | lr 20.00 | ms/batch 113.43 | loss  5.60 | ppl   271.51
| epoch   3 |  6000/ 7591 batches | lr 20.00 | ms/batch 113.39 | loss  5.54 | ppl   255.81
| epoch   3 |  6200/ 7591 batches | lr 20.00 | ms/batch 113.46 | loss  5.70 | ppl   300.02
| epoch   3 |  6400/ 7591 batches | lr 20.00 | ms/batch 113.51 | loss  5.57 | ppl   261.73
| epoch   3 |  6600/ 7591 batches | lr 20.00 | ms/batch 113.40 | loss  5.64 | ppl   282.22
| epoch   3 |  6800/ 7591 batches | lr 20.00 | ms/batch 113.52 | loss  5.69 | ppl   296.56
| epoch   3 |  7000/ 7591 batches | lr 20.00 | ms/batch 113.40 | loss  5.70 | ppl   298.18
| epoch   3 |  7200/ 7591 batches | lr 20.00 | ms/batch 113.54 | loss  5.65 | ppl   284.85
| epoch   3 |  7400/ 7591 batches | lr 20.00 | ms/batch 113.68 | loss  5.78 | ppl   322.64
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 893.32s | valid loss  5.90 | valid ppl   366.29
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-07T13-11-19/model-LSTM-emsize-500-nhid_500-nlayers_5-epoch_3-loss_5.90-ppl_366.29.pt
| epoch   4 |   200/ 7591 batches | lr 20.00 | ms/batch 113.33 | loss  5.60 | ppl   271.68
| epoch   4 |   400/ 7591 batches | lr 20.00 | ms/batch 113.42 | loss  5.58 | ppl   264.66
